#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1051
#Date Time: 2022-12-04 15:42:32.208
#Trace: Trace 1
#Start: 0 Hz
#Stop: 10000 Hz
#BINs: 4097
#Rate: 20000 Hz
#Samples: 8192
#Channel: C1
#Type: Sample
#Window: Flat Top
#Trace: Trace 2
#Start: 0 Hz
#Stop: 10000 Hz
#BINs: 4097
#Rate: 20000 Hz
#Samples: 8192
#Channel: C2
#Type: Sample
#Window: Flat Top
#Channel: C1
#Range: 5.54762 V
#Offset: -0.000259098 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.50311 V
#Offset: 0.000252388 V
#Attenuation: 1 X

Frequency (Hz),Trace 1 (dBV),Trace 2 (dBV)
0,-7.882693788009885,-39.75744047051412
2.44140625,-8.196958172258931,-40.02331903143628
4.8828125,-11.71221457454491,-43.46539010248763
7.32421875,-22.23657125706455,-53.7676078287441
9.765625,-47.17885282163265,-73.3312605073572
12.20703125,-52.58212968739876,-83.42069599397668
14.6484375,-51.98192520884447,-80.96415236623015
17.08984375,-52.97524299418973,-78.59502699263753
19.53125,-53.70530748075242,-79.61965910617948
21.97265625,-53.56365721991634,-79.5513273703404
24.4140625,-56.82070488095964,-78.26689194899571
26.85546875,-67.51042034050299,-76.77352757817899
29.296875,-71.04489845545001,-72.28935926043485
31.73828125,-65.86130300702665,-69.64377968317963
34.1796875,-60.61565447583799,-69.43876788015049
36.62109375,-53.56440958572005,-69.74407121239938
39.0625,-52.18565770260766,-72.442353579689
41.50390625,-52.6624026855046,-75.33125852208906
43.9453125,-56.20851596561414,-74.67531638824509
46.38671875,-69.19757213476242,-74.99902585364497
48.828125,-60.6132237463387,-76.54385910921037
51.26953125,-53.60153976303032,-82.2476689444572
53.7109375,-44.97708680596639,-87.29666950361504
56.15234375,-39.37419007606101,-78.22768757442756
58.59375,-37.98912837048859,-75.10416009095506
61.03515625,-38.13867861242711,-75.84629556659743
63.4765625,-39.63544281455442,-80.91795468850935
65.91796875,-46.32541547144804,-78.85007715945717
68.359375,-67.10518806503478,-75.65366636720486
70.80078125,-57.20701514004369,-74.58371184924025
73.2421875,-54.5047659649287,-75.78748559488886
75.68359375,-53.45741911837699,-78.27377165920247
78.125,-54.52131961435178,-80.46851336612232
80.56640625,-54.32016439314005,-86.50809043795044
83.0078125,-54.5413263459655,-85.01270559865033
85.44921875,-57.80258702900624,-80.34221540994642
87.890625,-61.76385804207325,-79.1189236536749
90.33203125,-61.36671159867887,-77.81198414724818
92.7734375,-66.0143244243567,-80.05158136684429
95.21484375,-58.06239490105172,-83.69196870943567
97.65625,-51.10057811393132,-86.01454584754649
100.09765625,-49.36391190709783,-86.75656312321954
102.5390625,-49.2537597995458,-86.27198345178556
104.98046875,-51.82146223093869,-89.70451352344831
107.421875,-57.64133400488772,-96.01336885008068
109.86328125,-64.1376074144909,-92.83568574258935
112.3046875,-55.29182984655245,-85.38583204919605
114.74609375,-43.58692068024185,-80.8220069444168
117.1875,-39.21023073060543,-75.66655016208459
119.62890625,-38.46603483758239,-73.60327869980996
122.0703125,-38.44223200547463,-74.54905135320314
124.51171875,-41.06281989485845,-77.39429271440352
126.953125,-49.52684364045928,-84.69921772871126
129.39453125,-62.90440241144371,-91.67285303362732
131.8359375,-79.63119924869079,-85.07036641442278
134.27734375,-62.96240206761905,-80.70974391869765
136.71875,-58.98196509106602,-78.98738219709384
139.16015625,-58.57035767549423,-79.82880072407013
141.6015625,-60.61253324777514,-86.72107683654234
144.04296875,-59.78777335158387,-87.29703325932645
146.484375,-56.29363093167225,-76.56651844992308
148.92578125,-54.50820171436709,-72.60068748702997
151.3671875,-55.49560788795823,-72.50798497256703
153.80859375,-70.24589762335212,-75.71472229956518
156.25,-56.07636407611115,-83.45756771779982
158.69140625,-52.07934336439266,-89.91099783501528
161.1328125,-51.39970487016856,-79.77474254625797
163.57421875,-51.99564243847752,-77.53857569665981
166.015625,-55.85219813579372,-79.14382682453939
